aaa分类,关键词,描述内容
机器人相关物品展示,穿戴式辅助增强机器人,面向负载携行助力需求，自主研发了系列化穿戴式外骨骼机器人。军用单兵外骨骼实现了高原环境应用测试，地震救援、火灾救援外骨骼分别在中国地震应急救援中心、消防部队等完成应用示范。成果应邀参加“十二五”科技创新展。面向单人作业辅助需求，研制了穿戴式外肢体机器人，拓展人体独立作业能力，广泛应用于特种作业、工业制造等领域，解决如核工业、大飞机制造过程中的单人复杂作业难题。
机器人相关物品展示,模块化自重构机器人,模块化自重构机器人(变形机器人)能够完成普通的固定构形机器人所无法完成的复杂操作，特别适用于工作环境变化大、操作任务复杂的场合，在空间操作、抢险搜救、反恐侦察、核电站维护等领域有着广阔的应用前景。它可以构成能够穿越狭小空间的蛇形机器人、能够在不平路面上运动的多足行走机器人、可快速运动的滚动机器人、适于空间应用的柔性操作手等。由于电子学、微型机电系统及微型传感器技术的发展使得计算单元及微驱动、微传感器单元的体积越来越小，功能越来越强大，也有力的推动了自重构机器人由理论研究向工程实践发展。
机器人相关物品展示,标准模块单元,"标准单元包括反相器、与门、寄存器、选择器、全加器等多种基本单元，每一个标准单元对应着多个不同尺寸（W/L）、不同驱动能力的单元电路，而且不同驱动强度电路都是基本尺寸或最小尺寸的整数倍。
标准单元库，包括版图库、符号库、电路逻辑库等。包含了组合逻辑、时序逻辑、功能单元和特殊类型单元。是集成电路芯片后端设计过程中的基础部分。运用预先设计好的优化 的库单元进行自动逻辑综合和版图布局布线，可以极大地提高设计效率，加快产品进入市场的时间。一般每个工艺厂商在每个工艺下都会提供相应的标准单元。"
机器人相关物品展示,末端作用器,一个机器人末端执行器指的是任何一个连接在机器人边缘（关节）具有一定功能的工具。这可能包含机器人抓手，机器人工具快换装置，机器人碰撞传感器，机器人旋转连接器，机器人压力工具，顺从装置，机器人喷涂枪，机器人毛刺清理工具，机器人弧焊焊枪，机器人电焊焊枪等等。机器人末端执行器通常被认为是机器人的外围设备，机器人的附件，机器人工具，手臂末端工具。
机器人相关物品展示,机械臂,机械手臂是机械人技术领域中得到最广泛实际应用的自动化机械装置，在工业制造、医学治疗、娱乐服务、军事、半导体制造以及太空探索等领域都能见到它的身影。尽管它们的形态各有不同，但它们都有一个共同的特点，就是能够接受指令，精确地定位到三维（或二维）空间上的某一点进行作业。
机器人相关物品展示,高超声速飞行器,高超声速飞行器是指飞行速度超过5倍音速的飞机、导弹、炮弹之类的有翼或无翼飞行器，具有突防成功率高的特点，有着巨大的军事价值和潜在的经济价值。
机器人相关物品展示,智能服务机器人,智能服务机器人是在非结构环境下为人类提供必要服务的多种高技术集成的智能化装备，主要以服务机器人和危险作业机器人应用需求为研究重点，研究设计方法、制造工艺、智能控制和应用系统集成等共性基础技术。
机器人相关物品展示,医疗机器人研究项目,医疗机器人是指用于医院、诊所、康复中心等医疗场景的医疗或辅助医疗的机器人。医疗机器人能够辅助医生，扩展医生的能力，具有医用性、临床适应性以及良好交互性三大特点。然医疗机器人在机器人应用中是一个相对较小的细分市场，但作为单位价值最高的服务机器人，医疗机器人成为当前机器人行业和医疗行业发展和投资的热点。根据国际机器人联合会（IFR）分类，医疗机器人可以分为手术机器人、康复机器人、辅助机器人、服务机器人四大类
机器人相关物品展示,力反馈感知,力反馈近几年研发出来的虚拟手术系统，为医生提供一个虚拟的3D环境以及可交互操作平台，逼真的模拟临床手术的全过程。与传统的手术教学相比，虚拟手术具有无损伤性、可重复性和可指定性等优点。但是，该领域的大部分研究仅限于仿真的可视化阶段，由于缺乏触觉效果，医生在虚拟环境下完成的手术与临床环境差别很大。为了解决上述难题，力反馈概念引入虚拟手术系统，通过对手术器械和软组织等形变过程进行实时数值计算，模拟出软组织的变形情况和器械受力状态，并通过外接的力反馈输出设备（图1），使医生在手术操作中，感知到反馈力的存在，更好的达到临床手术的训练效果。
机器人相关物品展示,腹腔微创手术机器人,腹腔微创手术机器人，全称为“内窥镜手术器械控制系统”，由其标配“三件套”控制台、手术机械臂和三维成像系统组成。系统配备高清、放大的视野及灵巧精密的微创手术器械，可在微小创伤切口前提下，精准抵达手术部位，可以从本质上改变传统腔镜外科手术模式。在术野狭小、大血管周围或重要脏器部位进行高风险、精细手术操作时，具有传统技术所不可比拟的优越性。
机器人相关物品展示,码垛机器人,"码垛机器人，是机械与计算机程序有机结合的产物。为现代生产提供了更高的生产效率。码垛机器在码垛行业有着相当广泛的应用。码垛机器人大大节省了劳动力，节省空间。码垛机器人运作灵活精准、快速高效、稳定性高，作业效率高。
码垛机器人系统采用专利技术的坐标式机器人的安装占用空间灵活紧凑。能够在较小的占地面积范围内建造高效节能的全自动砌块成型机生产线的构想变成现实。"
机器人相关物品展示,电石出炉机器人,电石出炉是电石生产的关键工序之一，主要包括炉前和捣炉作业。电石出炉机器人系统包括炉前作业机器人和捣炉机器人两大系统。电石出炉机器人可以在复杂、高温、危险的环境下作业，在降低出炉工劳动强度的同时，可以提高出炉操作的效率和精准度。
机器人相关物品展示,人机协作型工业机器人,人机协作型工业机器人简称协作性机器人，指被设计成可以在协作区域内与人直接进行交互的机器人。本质上讲，协作机器人与传统机器人之间并没有非常大的不同，只是基于不同的设计理念生产的工业机器人产品，在协作机器人发展初期，很多都是从传统机器人的基础上改造的。但协作机器人与传统机器人相比，更加灵活高效，易于部署和替换，但运行速度和负载能力一般低于传统的机器人。
机器人相关物品展示,核反应堆压力容器检查机器人,反应堆压力容器是核能发电的关键设备，而且是特别容易出问题的设备之一，对反应堆压力容器进行定期检查和维修是十分重要的。哈尔滨工业大学与中核武汉核电运行技术股份有限公司联合研制成功具有自主知识产权的核反应堆压力容器检查机器人系统。该机器人系统实现了核反应堆压力容器的自动化检查，遥操作系统具有全三维动态模拟及实际控制、可离线编程仿真、测量及干涉检测等功能。本系统已通过了由CNPO 组织的UK-IVC（英国验证中心）认证，是国内首个通过 IVC 认证的、具有自主知识产权的核反应堆压力容器检查机器人系统，具备了在核反应堆实际现场应用的资质，同时打破了此类产品被西屋等国外公司长期垄断的局面。该系统于2011 年完成秦山核电站3、4 号反应堆压力容器机组役前、在役检测，并在役前检查中成功检出 3 号反应堆中某压力容器存在缺陷，避免了重大核事故的发生。
机器人相关物品展示,微纳机器人,微纳机器人是实验室面对世界科技前沿做的一些内容，微纳游动机器人指能在液体中游动的尺寸在1 nm~100μm左右的机器人，为介入式健康监测、超微诊断、靶向给药等提供变革性手段，现在还属于理论研究的阶段，没有应用到人体。
机器人相关物品展示,扑翼机器人,扑翼机器人由深圳校区的徐文福老师研发，亮相过2019年的央视春晚，应用于边境的侦查工作。扑翼机器人克服了固定翼、旋翼无人机成本高、能量利用率低、隐身能力弱等缺陷，且在自主能力、抗风能力、带载能力、巡航能力等方面明显高于微小型扑翼飞行器。
机器人相关物品展示,空间机械臂技术,小机械臂由我实验室刘宏院士、谢宗武教授团队和中科院长光所联合研制，相比于核心舱配备的大机械臂，小机械臂更加精巧，采用了7自由度对称构型，两端各有一个末端作用器，配合问天实验舱表面的“脚印”，可实现舱体不同位置的爬行。问天实验舱的小机械臂长约5米，最大负载3吨；相比于核心舱配备的展开长度达10米、最大承载质量25吨的大机械臂，要显得更“短小精悍”。相较于在天和核心舱上搭载的大机械臂，问天实验舱小机械臂末端定位精度更高，位置精度优于大机械臂5倍，姿态精度优于大机械臂2倍，其运动精度也更高，可用于完成精度要求更高的科学载荷安装、拆卸等任务。小机械臂可单独使用，也可与大机械臂形成组合机械臂，执行大范围、跨舱段的支持航天员出舱活动、舱外状态检查、舱外货物转移及安装、舱外维护维修、载荷照料、光学设施维护等任务。
机器人相关物品展示,医疗机器人,医疗机器人实验室承担了一批国家自然科学基金基础研究、863计划、国家重点研发计划等重点和重大医疗机器人研究项目，突破了医疗机器人灵巧手术器械设计、力反馈感知、精确主从控制、狭小空间精准操作、风险分析与安全控制、动物与临床试验、系统集成等关键技术，研制了骨科、普外科、心内科、神经外科手术机器人系统，获省部级科技进步奖4项、出版专著3部、获国家发明专利200余项。腹腔微创手术机器人获批国产腔镜手术医疗器械III类注册证，正在实施产业化。
机器人相关物品展示,协作型工业机器人,研发了新一代人机协作型工业机器人，操作复杂度更高、技巧性更强。机器人的核心部件具有独立自主知识产权，全部实现国产化，解决了批量化制造难题。哈工大协作型工业机器人 2018 年获得了“世界三大设计奖之一”的德国红点奖与“中国设计界的奥斯卡”中国设计红星奖。
机器人相关物品展示,核环境检测与维护,自主研发了国内首台具有自主知识产权的核反应堆压力容器检查机器人，通过了英国IVC认证并投入使用，在秦山一期、二期、岭澳、福清等核电站完成了役前、在役检测任务。研制了我国首台核聚变堆重载包层维护机器人与多功能灵巧机械臂，制订了通用技术标准和规范。
老师个人介绍,徐文福老师,"徐文福，哈尔滨工业大学（深圳）教授，博士生导师，机电工程与自动化学院副院长，国家级高层次人才，“广东特支计划”科技创新领军人才，深圳“鹏城学者”特聘教授，IEEE高级会员，爱思唯尔中国高被引学者，全球前2%顶尖科学家。
面向国际学术前沿及国家重大需求，开展特种机器人及仿生机器人的研究，在宇航空间机器人、仿生扑翼飞行机器人、多足移动操作机器人、敏捷操作机器人等方面取得创新性研究成果，实现多项重要工程应用。获部级科技进步一等奖2项。
已作为课题负责人主持了国家级项目/课题16项（其中，国家级重点项目6项）。以第一或通信作者发表学术论文150余篇，其中SCI期刊论文80余篇，有JCR一区论文60余篇（包括JCR 一区论文45篇，IEEE Transactions 汇刊18篇）；出版学术专著4部、教材2部，获得授权国家发明专利60余项。作为IROS、Robio、IEEE-SMC、ICARCV等多个顶级国际会议分会场主席主持论文报告。《Biomimetic Intelligence and Robotics》期刊编委。获得IEEE/ASME Transactions on Mechatronics国际期刊年度最佳论文提名奖1次，国际会议最佳论文奖1次、提名奖3次，获某部科技进步一等奖获2项。
入选爱思唯尔2020年、2021、2022年中国高被引学者 （机械工程），2022年全球前2%顶尖科学家；所带领的团队获2021年 “广东青年五四奖章”优秀集体、“深圳青年五四奖章”优秀集体。"
老师个人介绍,刘宏院士,刘宏，1966年12月出生于安徽省合肥市，中国工程院院士，哈尔滨工业大学党委常委、副校长，机器人技术与系统国家重点实验室主任，中国机械工程学会机器人分会副主任委员。1986年7月，刘宏在哈尔滨工业大学机械设计制造及其自动化专业获学士学位；1993年3月，在哈尔滨工业大学机械工程系机械电子工程专业获博士学位（硕博连读），随后在机器人研究所任讲师；2015年3月，任哈尔滨工业大学校长助理、机电工程学院院长；2017年6月，任哈尔滨工业大学党委委员、校长助理；2019年3月，任哈尔滨工业大学党委常委、副校长。刘宏教授主要从事空间机器人，机器人灵巧手，假手等方面研究。
老师个人介绍,谢宗武教授,谢宗武，男，汉族，1973年生。教授，哈尔滨工业大学机器人研究所教师。先后主持承担国家自然科学基金重点项目、863重点项目等10余项，参加自然科学基金和863项目20余项。研究领域包括机器人驱动与控制、空间机器人可靠性，驱动，控制。主要研究方向：空间机器人。
老师个人介绍,蔡鹤皋,蔡鹤皋教授，男，汉族，1934年6月5日出生于吉林省长春市，祖籍北京，机器人及机电一体化技术专家，中国工程院院士，青岛科技大学兼职教授，哈尔滨工业大学机电控制及自动化系教授。 1958年毕业于哈尔滨工业大学；1958年—1979年，担任在哈尔滨工业大学机械工程系讲师；1979年-1982年，在美国加州大学伯克利工学院机械工程系进修；1982年—1985年，担任哈尔滨工业大学机械工程系副教授；1985年—1986年，担任哈尔滨工业大学机电工程学院教授、博士生导师；1986年—1999年，在哈尔滨工业大学机器人研究所先后担任副所长、所长；1997年当选为中国工程院院士。蔡鹤皋教授长期从事机器人及自动化技术研究设计工作。
老师个人介绍,邓宗全,邓宗全教授，男，汉族，1956年10月2日出生于黑龙江省双鸭山市宝清县，宇航空间机构学专家，中国工程院院士，教育部高等学校机械基础课程教学指导委员会主任委员，宇航空间机构及控制技术国防重点学科实验室主任，哈尔滨工业大学教授、博士生导师。1982年，邓宗全在哈尔滨工业大学毕业，获学士学位；1984年，获哈尔滨工业大学硕士学位；2004年—2016年，担任哈尔滨工业大学副校长，博士生导师；2007年，担任宇航空间机构及控制国防重点学科实验室主任；2017年，当选为中国工程院院士。邓宗全教授长期从事宇航空间机构与特种机器人的设计理论与技术研究。
老师个人介绍,段广仁,段广仁教授，男，1962年4月出生，黑龙江桦川人。中国共产党党员，中国科学院院士，IEEE Fellow，IET Fellow，国家杰青，哈尔滨工业大学教授、博士生导师，哈尔滨工业大学航天学院控制理论与制导技术研究中心主任。 段广仁教授于1979年9月—1983年8月在东北重型机械学院应用数学专业学习，并获学士学位；1983年9月—1986年8月，在哈尔滨船舶工程学院现代控制理论专业学习，并获硕士学位；1986年9月—1989年8月，在哈尔滨工业大学 一般力学专业学习，并获博士学位；1991年10月，任哈尔滨工业大学控制工程系教授；2002年10月，任哈工大控制理论与制导技术中心主任；2019年，当选中国科学院院士。段广仁教授长期从事自动控制理论与应用研究；主要研究方向为控制系统的参数化设计、鲁棒控制、广义系统、线性矩阵不等式方法、飞行器制导与控制、磁悬浮控制系统设计。
实验室相关内容,实验室背景,机器人技术与系统国家重点实验室”源自哈尔滨工业大学机器人研究所，该所始建于1986年，是我国最早开展机器人技术研究的单位之一，在上个世纪80年代研制出我国第一台弧焊机器人和第一台点焊机器人。实验室依托机械工程（第四次学科评估A+）、控制科学与工程（A+）、电气工程（A-）等一级学科组建。于2007年开始建设，2007年8月通过可行性论证，2010年7月通过建设验收，2013年首次评估良好，2018年第二次评估优秀。
实验室相关内容,实验室队伍,实验室具有一支高素质的教学、科研队伍，经过多年的发展，形成了一支由院士、杰青、长江学者、资深教授等为学术带头人的学术梯队，具备年招收硕士研究200余名、博士研究生100余名、入站博士后20余名的人才培养能力。先后与美国、德国、日本、英国、法国、意大利、俄罗斯、澳大利亚、新加坡等国家和地区建立了学术交流与合作关系。
